src1.lognorm src2.lognorm src3.lognorm pl1.PhoIndex src1.lognH
-5.090581280101719841e+00 -5.197827671070403888e+00 -5.089615800243169730e+00 1.791350044866345748e+00 2.129242032298021314e+01
-4.923447877280647589e+00 -4.996058493170125736e+00 -4.770057358137616887e+00 2.261786545300935813e+00 2.158824256106183270e+01
-4.805992557067810367e+00 -4.922492875677395574e+00 -4.707606270868584630e+00 2.594230233818644038e+00 2.164259160759531753e+01
-4.755087895317196001e+00 -4.859778742893428038e+00 -4.609166615684126889e+00 2.714650534447630825e+00 2.177982839904838031e+01
-5.142920955853353071e+00 -5.166669814164918328e+00 -5.050970886348848055e+00 1.867208721662021453e+00 2.111953046781967558e+01
-5.023693083596862508e+00 -5.109113896982741210e+00 -4.926469202273176862e+00 2.049554805357079346e+00 2.139221836186880665e+01
-4.967348002149400088e+00 -5.029714394708209468e+00 -4.863266833134612277e+00 2.176345022038681520e+00 2.152002304852615211e+01
-4.917579774319335684e+00 -4.791638504721288605e+00 -4.798558498302803343e+00 2.342628425005614190e+00 2.171269471222602476e+01
-4.955518634759322971e+00 -4.917896836135874139e+00 -4.733017160023998748e+00 2.399278510286016797e+00 2.173277760353090926e+01
-4.916229953775893335e+00 -4.946198490085773614e+00 -4.855023450757203207e+00 2.386484547877037343e+00 2.159345810233867269e+01
-5.070710089293086753e+00 -5.053883023990975332e+00 -4.882557012836549859e+00 2.150703092984850073e+00 2.142760149157230742e+01
-5.088185597584943487e+00 -5.008802149752690447e+00 -4.882456591396944212e+00 2.116469031743780427e+00 2.139681087635649348e+01
-4.994464332898696846e+00 -5.082253511418107550e+00 -5.006561906894056335e+00 2.097783763691254855e+00 2.142932128380738988e+01
-4.990491086551163136e+00 -5.009430448817472126e+00 -4.842655223303815148e+00 2.297439856234204214e+00 2.154609872747191091e+01
-4.987927195713483641e+00 -4.994891747798052783e+00 -4.851088042774600595e+00 2.149948084408258353e+00 2.162583972576751989e+01
-5.040807875074092337e+00 -5.153247232593702876e+00 -5.038578338766102505e+00 2.013415412556829764e+00 2.133817835638248539e+01
-5.085571161212684821e+00 -5.114872186559149547e+00 -4.847438834615704017e+00 1.963666688758218370e+00 2.146505562370371933e+01
-4.996533639015664718e+00 -5.079849996694123071e+00 -4.806358015143144868e+00 2.186960831405054151e+00 2.144806539192883932e+01
-4.959053798825391546e+00 -5.081939003807979915e+00 -4.887877525361387754e+00 2.206202755948117655e+00 2.153778873511600267e+01
-5.094251816500113605e+00 -5.161533873155061514e+00 -4.987359583869174884e+00 2.093867619384711887e+00 2.123988096547730109e+01
-5.072143981091761233e+00 -5.070436693803934247e+00 -5.003864394456176257e+00 2.101966491286982652e+00 2.118172757858426181e+01
-5.061910221332186488e+00 -5.123396228639563788e+00 -4.967317627233512667e+00 2.052759991985199761e+00 2.128563887858117099e+01
-4.951454163993846969e+00 -4.994946346398997150e+00 -4.842886490244153741e+00 2.289478448996114857e+00 2.156235952370762732e+01
