src1.lognorm src2.lognorm pl1.PhoIndex src1.lognH
-5.317288304792846532e+00 -4.758833112381309682e+00 1.716999678833152743e+00 2.060388802124401764e+01
-5.476591781755072219e+00 -4.791105231290556432e+00 1.684783236459422184e+00 1.945863552543107033e+01
-5.444589283718235251e+00 -4.860146451465278794e+00 1.566503615141796146e+00 1.923220244846594085e+01
-5.494279755720282488e+00 -4.785681766017479966e+00 1.661467482089213021e+00 2.054313785663611114e+01
-5.437377902630757376e+00 -4.747900833638093232e+00 1.747106944689313046e+00 2.078622906479947474e+01
-5.435835179327134448e+00 -4.806968987541452520e+00 1.726897348303141122e+00 1.931695279287285416e+01
-5.347332925518696101e+00 -4.796056264200889707e+00 1.622650027784859894e+00 1.934597818899091592e+01
-5.436322390560524020e+00 -4.810250798324930521e+00 1.756900501246385637e+00 1.923426789462510911e+01
-5.370107630305373192e+00 -4.788944069715953766e+00 1.653781334360881594e+00 2.044914602147125038e+01
-5.413940222699840987e+00 -4.750149430377113013e+00 1.848504389793284020e+00 1.984741442270872724e+01
-5.452213374978423843e+00 -4.796046480682465862e+00 1.709271916003057612e+00 2.029525129108106540e+01
-5.409687299242809999e+00 -4.791989617714834893e+00 1.643660248749729824e+00 2.042347201913703714e+01
-5.359825334950121700e+00 -4.797952654635965430e+00 1.783232195803167386e+00 1.999026866352675924e+01
-5.459144820493364136e+00 -4.809983209015863181e+00 1.595799684625475834e+00 1.965666166794139258e+01
-5.487023811443359378e+00 -4.829395644694479905e+00 1.529155663926008657e+00 1.998891639673335874e+01
-5.521025621508178993e+00 -4.805891982217288749e+00 1.476740544580155579e+00 1.948719457976560676e+01
-5.343026272351018235e+00 -4.805048302251915260e+00 1.591712811473907863e+00 1.927511910658590821e+01
-5.440845216869487189e+00 -4.869839751631142022e+00 1.539051263549900739e+00 1.958486351510097379e+01
-5.395930463342624606e+00 -4.767219581642825332e+00 1.719146097759288061e+00 1.944544104682779206e+01
-5.470822135653400586e+00 -4.816430058816172810e+00 1.609408310915668494e+00 2.069657720873086859e+01
-5.443444796966797838e+00 -4.825079857113196979e+00 1.578044088895735442e+00 1.937435646486806107e+01
-5.408524918437599638e+00 -4.833928483052780223e+00 1.616422883916674103e+00 2.049255140695824196e+01
-5.460506434019502642e+00 -4.828026458305842539e+00 1.562452806676902561e+00 1.908887445824473517e+01
-5.504712683366856929e+00 -4.757533285971027759e+00 1.655651572497590429e+00 2.029219054203937134e+01
-5.484576357013790648e+00 -4.834563429260924750e+00 1.565102842003716965e+00 1.974247963002871842e+01
-5.333935997875252966e+00 -4.752922334261119985e+00 1.874171837916090766e+00 2.071921428983253932e+01
-5.446249536025979943e+00 -4.806463367841603329e+00 1.571958348593861743e+00 2.036667591075165262e+01
-5.482177525488959979e+00 -4.807590744343525735e+00 1.817094281630081909e+00 2.015008744206824787e+01
-5.379813846190891979e+00 -4.783451438379364262e+00 1.685834786376999794e+00 2.081081528855256479e+01
-5.431595572398179250e+00 -4.794722325631683546e+00 1.653725513919670931e+00 2.007582767672142765e+01
-5.351840620609847221e+00 -4.796971036604779748e+00 1.680498957791244585e+00 1.918962636771689034e+01
-5.395120182537841202e+00 -4.757096942447879506e+00 1.729568261002149221e+00 2.088965594369257062e+01
-5.346150673007463716e+00 -4.717307747174530164e+00 1.786256348224924295e+00 2.113150959267100149e+01
-5.480725930431712634e+00 -4.799471951391873326e+00 1.600591814255563072e+00 2.069918364767534413e+01
-5.319357847470707945e+00 -4.702957987333134859e+00 1.837851880160259910e+00 2.109609122560942041e+01
-5.422601369882053213e+00 -4.881136386156047280e+00 1.481970706011814798e+00 1.924263592004415457e+01
-5.312521927734660920e+00 -4.796996382083024812e+00 1.771014459425479082e+00 2.093622570452834708e+01
-5.370382024644360541e+00 -4.835522047353844499e+00 1.604450887663573688e+00 2.013945725317398683e+01
-5.402141409019734830e+00 -4.842928331746946924e+00 1.584510667453231214e+00 1.978256017664517330e+01
-5.371554192823601248e+00 -4.804197073547689101e+00 1.712945103705570737e+00 2.057614195311727556e+01
-5.409561769041864920e+00 -4.796057463743119698e+00 1.699535977822765886e+00 2.059239934207194622e+01
-5.465720748816514707e+00 -4.806465132781930549e+00 1.651774448476758472e+00 1.989857181130333430e+01
-5.332253916202795097e+00 -4.792830090356167361e+00 1.728834698130469860e+00 1.967930233828619180e+01
-5.552704936585254103e+00 -4.846434755501364045e+00 1.413426364808271884e+00 1.951433380411300433e+01
-5.340101052907781920e+00 -4.817644082075037915e+00 1.642673531403513465e+00 1.931023794296202567e+01
-5.368473582386489973e+00 -4.756261264261481436e+00 1.717097125880396646e+00 2.076859772103276214e+01
-5.337231809771270541e+00 -4.743439777393080092e+00 1.695052716101382195e+00 2.080820069653236004e+01
-5.490138507103495158e+00 -4.776425888891366434e+00 1.660675118448930121e+00 2.060274590289218466e+01
-5.361835327454688382e+00 -4.806473572376081194e+00 1.675390623903740384e+00 2.029880918747973695e+01
-5.343014991176586292e+00 -4.677084395493769975e+00 1.835116369128455993e+00 2.120024892226762958e+01
-5.383360719505708047e+00 -4.775463159131025037e+00 1.777151658743596485e+00 1.900861961656738686e+01
