14:54:20 [ultranest] [DEBUG] iteration=649, ncalls=1499, regioncalls=43960, ndraw=40, logz=-3762.32, remainder_fraction=100.0000%, Lmin=-3753.80, Lmax=-335.91
14:54:20 [ultranest] [DEBUG] iteration=651, ncalls=1506, regioncalls=44240, ndraw=40, logz=-3760.31, remainder_fraction=100.0000%, Lmin=-3751.97, Lmax=-335.91
14:54:20 [ultranest] [DEBUG] iteration=653, ncalls=1509, regioncalls=44360, ndraw=40, logz=-3757.67, remainder_fraction=100.0000%, Lmin=-3749.39, Lmax=-335.91
14:54:21 [ultranest] [DEBUG] iteration=655, ncalls=1512, regioncalls=44480, ndraw=40, logz=-3756.10, remainder_fraction=100.0000%, Lmin=-3748.93, Lmax=-335.91
14:54:21 [ultranest] [DEBUG] iteration=656, ncalls=1514, regioncalls=44560, ndraw=40, logz=-3755.63, remainder_fraction=100.0000%, Lmin=-3747.15, Lmax=-335.91
14:54:21 [ultranest] [DEBUG] iteration=657, ncalls=1516, regioncalls=44640, ndraw=40, logz=-3754.45, remainder_fraction=100.0000%, Lmin=-3740.47, Lmax=-335.91
14:54:21 [ultranest] [DEBUG] iteration=658, ncalls=1522, regioncalls=44880, ndraw=40, logz=-3748.14, remainder_fraction=100.0000%, Lmin=-3740.36, Lmax=-335.91
14:54:21 [ultranest] [DEBUG] iteration=660, ncalls=1524, regioncalls=44960, ndraw=40, logz=-3743.57, remainder_fraction=100.0000%, Lmin=-3735.34, Lmax=-335.91
14:54:22 [ultranest] [DEBUG] iteration=662, ncalls=1531, regioncalls=45240, ndraw=40, logz=-3740.71, remainder_fraction=100.0000%, Lmin=-3732.61, Lmax=-335.91
14:54:22 [ultranest] [DEBUG] iteration=663, ncalls=1534, regioncalls=45360, ndraw=40, logz=-3739.79, remainder_fraction=100.0000%, Lmin=-3731.99, Lmax=-335.91
14:54:22 [ultranest] [DEBUG] iteration=665, ncalls=1536, regioncalls=45440, ndraw=40, logz=-3737.17, remainder_fraction=100.0000%, Lmin=-3728.82, Lmax=-335.91
14:54:22 [ultranest] [DEBUG] iteration=666, ncalls=1541, regioncalls=45640, ndraw=40, logz=-3736.10, remainder_fraction=100.0000%, Lmin=-3728.04, Lmax=-335.91
14:54:22 [ultranest] [DEBUG] iteration=667, ncalls=1543, regioncalls=45720, ndraw=40, logz=-3735.21, remainder_fraction=100.0000%, Lmin=-3726.52, Lmax=-335.91
14:54:23 [ultranest] [DEBUG] iteration=668, ncalls=1548, regioncalls=45920, ndraw=40, logz=-3733.90, remainder_fraction=100.0000%, Lmin=-3726.26, Lmax=-335.91
14:54:23 [ultranest] [DEBUG] iteration=670, ncalls=1556, regioncalls=46240, ndraw=40, logz=-3732.09, remainder_fraction=100.0000%, Lmin=-3723.70, Lmax=-335.91
14:54:23 [ultranest] [DEBUG] iteration=673, ncalls=1560, regioncalls=46400, ndraw=40, logz=-3722.02, remainder_fraction=100.0000%, Lmin=-3712.48, Lmax=-335.91
14:54:23 [ultranest] [DEBUG] iteration=677, ncalls=1577, regioncalls=47080, ndraw=40, logz=-3712.86, remainder_fraction=100.0000%, Lmin=-3704.83, Lmax=-335.91
14:54:23 [ultranest] [DEBUG] iteration=680, ncalls=1584, regioncalls=47360, ndraw=40, logz=-3708.74, remainder_fraction=100.0000%, Lmin=-3699.73, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=685, ncalls=1599, regioncalls=47960, ndraw=40, logz=-3701.29, remainder_fraction=100.0000%, Lmin=-3690.61, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=689, ncalls=1614, regioncalls=48560, ndraw=40, logz=-3686.73, remainder_fraction=100.0000%, Lmin=-3674.89, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=696, ncalls=1638, regioncalls=49520, ndraw=40, logz=-3664.93, remainder_fraction=100.0000%, Lmin=-3656.00, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=703, ncalls=1655, regioncalls=50200, ndraw=40, logz=-3649.31, remainder_fraction=100.0000%, Lmin=-3627.22, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=710, ncalls=1670, regioncalls=50800, ndraw=40, logz=-3625.36, remainder_fraction=100.0000%, Lmin=-3616.95, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=714, ncalls=1685, regioncalls=51400, ndraw=40, logz=-3609.81, remainder_fraction=100.0000%, Lmin=-3600.91, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=720, ncalls=1696, regioncalls=51840, ndraw=40, logz=-3575.38, remainder_fraction=100.0000%, Lmin=-3556.55, Lmax=-335.91
14:54:24 [ultranest] [DEBUG] iteration=724, ncalls=1715, regioncalls=52600, ndraw=40, logz=-3525.94, remainder_fraction=100.0000%, Lmin=-3505.15, Lmax=-335.91
14:54:25 [ultranest] [DEBUG] iteration=728, ncalls=1731, regioncalls=53240, ndraw=40, logz=-3492.42, remainder_fraction=100.0000%, Lmin=-3481.56, Lmax=-335.91
14:54:25 [ultranest] [DEBUG] iteration=733, ncalls=1751, regioncalls=54040, ndraw=40, logz=-3481.61, remainder_fraction=100.0000%, Lmin=-3465.15, Lmax=-335.91
14:54:25 [ultranest] [DEBUG] iteration=740, ncalls=1766, regioncalls=54640, ndraw=40, logz=-3457.73, remainder_fraction=100.0000%, Lmin=-3442.55, Lmax=-335.91
14:54:25 [ultranest] [DEBUG] iteration=745, ncalls=1781, regioncalls=55240, ndraw=40, logz=-3440.72, remainder_fraction=100.0000%, Lmin=-3431.09, Lmax=-335.91
